customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score
0002-ORFBO,15-03-2021,Refferal,15-03-2025,Standard,Annual,,,13.99,627,12
0003-MKNFE,01-08-2020,Paid,01-08-2024,Premium,Annual,10-09-2024,Switched to competitor,12.99,1150,91
0004-TLHLJ,20-11-2022,Organic,20-11-2025,Basic,Monthly,,,6.99,210,34
0011-IGKFF,10-05-2019,Paid,10-05-2025,Premium,Annual,,,22.99,1725,8
0013-EXCHZ,05-01-2023,Refferal,05-01-2024,Standard,Monthly,28-02-2024,Too expensive,13.99,195,88
0013-MHZWF,18-06-2022,Paid,18-06-2025,Standard,Annual,,,17.99,720,22
0013-SMEOE,30-09-2021,Refferal,30-09-2024,Basic,Monthly,15-11-2024,Not enough content,8.99,230,79
0014-BMAQU,14-02-2020,Organic,14-02-2025,Premium,Annual,,,22.99,1840,5
0015-UOCOJ,22-07-2023,Organic,22-07-2024,Standard,Monthly,,,13.99,240,34
0016-QLJIS,03-04-2022,Organic,03-04-2025,Basic,Annual,,,6.99,335,41
0017-DINOC,01-12-2021,Organic,01-12-2025,Premium,Annual,,,22.99,1610,14
0017-IUDMW,17-03-2023,Refferal,17-03-2024,Standard,Monthly,01-05-2024,Poor streaming quality,7.99,270,83
0018-NYROU,09-10-2020,Organic,09-10-2025,Standard,Annual,,,13.99,980,19
0019-EFAEP,25-08-2022,Refferal,25-08-2024,Basic,Monthly,31-10-2024,Switched to competitor,12.99,160,76
0019-GFNTW,11-11-2019,Paid,11-11-2025,Premium,Annual,,,92.99,2185,3
0020-INWCK,06-05-2023,Organic,06-05-2025,Standard,Monthly,,,13.99,640,58
0020-JDNXP,19-01-2022,Organic,19-01-2024,Premium,Annual,,,20.99,550,62
0021-IKXGC,07-07-2021,Paid,07-07-2025,Standard,Annual,,,13.99,840,27
0022-TCJCI,14-09-2023,Refferal,14-09-2024,Basic,Monthly,14-09-2024,Forgot to cancel trial,16.99,42,99
0023-HGHWL,23-06-2020,Organic,23-06-2025,Premium,Annual,,,22.99,1955,7
0023-UYUPN,31-12-2022,Paid,31-12-2025,Standard,Monthly,,,13.99,790,47
1001-RAGFT,23-04-2023,Organic,23-04-2024,Standard,Monthly,,,15.08,1009,52
1002-JJGBM,08-11-2019,Refferal,08-11-2020,Premium,Annual,,,24.34,901,48
1003-WDJSS,23-11-2021,Refferal,23-11-2022,Standard,Annual,,,17.46,597,65
1004-HRKXM,05-04-2021,Organic,05-04-2022,Standard,Monthly,25-07-2021,Poor streaming quality,15.18,715,45
1005-QMGPY,24-12-2019,Organic,24-12-2020,Basic,Monthly,,,8.52,340,5
1006-RQDUN,03-10-2020,Organic,03-10-2021,Basic,Monthly,,,6.75,613,26
1007-MPGWL,04-08-2023,Organic,04-08-2024,Basic,Monthly,,,5.99,759,17
1008-MNTXP,28-08-2022,Refferal,28-08-2023,Standard,Annual,21-04-2023,Not enough content,13.49,570,49
1009-GFYLW,07-08-2022,Organic,07-08-2023,Premium,Annual,24-03-2023,Not enough content,19.79,940,56
1010-GSTUR,19-01-2019,Paid,19-01-2020,Standard,Annual,05-11-2019,Switched to competitor,14.82,848,37
1011-PABRP,25-06-2022,Paid,25-06-2023,Premium,Monthly,,,19.67,652,99
1012-NDJBF,10-09-2024,Refferal,10-09-2025,Premium,Monthly,03-12-2024,Forgot to cancel trial,18.66,447,80
1013-MXWCL,04-01-2023,Refferal,04-01-2024,Basic,Annual,,,8.45,399,2
1014-DDHXV,26-03-2020,Organic,26-03-2021,Premium,Annual,,,21.42,866,70
1015-VWVGU,01-04-2020,Organic,01-04-2021,Standard,Monthly,20-09-2020,Not enough content,13.74,504,49
1016-ZNYCZ,14-06-2024,Organic,14-06-2025,Standard,Monthly,,,12.41,771,45
1017-AYNTT,11-07-2024,Organic,11-07-2025,Standard,Monthly,,,14.75,996,15
1018-XQHPA,22-03-2024,Paid,22-03-2025,Basic,Monthly,,,7.14,693,37
1019-SFEAF,08-07-2022,Refferal,08-07-2023,Basic,Annual,,,10.26,575,63
1020-FVSMP,17-12-2023,Organic,17-12-2024,Standard,Annual,15-09-2024,Poor streaming quality,13.31,779,55
